l_image,r_image,target_sound,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,key_instruct.started,welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,start.started,start_Lrectangle.started,start_Rrecntangle.started,start_L_image.started,start_R_image.started,star.started,star_mouse.started,start.stopped,star_mouse.x,star_mouse.y,star_mouse.leftButton,star_mouse.midButton,star_mouse.rightButton,star_mouse.time,star_mouse.clicked_name,trial.started,right_rectangle.started,left_rectangle.started,left_image.started,right_image.started,trail_sound.started,trial_mouse.started,trial.stopped,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trial_mouse.time,trial_mouse.clicked_name,trail_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.003390800004126504,0.012560500006657094,0.618189100001473,space,0.5918753999867477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.wav,C:\Users\HP\Downloads\individual assignment\dog.png,0,0,0,0,0.7109699000138789,,,,,,,,0.684331900003599,0.7109699000138789,0.7109699000138789,0.7109699000138789,0.7109699000138789,0.7109699000138789,0.07538670000212733,1.7649292000132846,[-0.006481481481481481],[0.037037037037037035],[1],[0],[0],[1.0702446999930544],['star'],1.7659003000007942,1.7839871000032872,1.7839871000032872,1.7839871000032872,1.7839871000032872,1.7793698666685183,0.01104990000021644,2.281948400006513,[-0.3990740740740741],[0.08611111111111111],[1],[0],[0],[0.5040605999965919],"['left_image', 'left_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\parrot.png,C:\Users\HP\Downloads\individual assignment\piegon.png,C:\Users\HP\Downloads\individual assignment\1732375047288jmx5n7yf-voicemaker.in-speech.wav,"C:\Users\HP\Downloads\individual assignment\parrot.png",0,1,1,1,2.3200129000033485,,,,,,,,2.3017106000042986,2.3200129000033485,2.3200129000033485,2.3200129000033485,2.3200129000033485,2.3200129000033485,0.012166599990450777,3.1483017000136897,[-0.008333333333333333],[0.006481481481481481],[1],[0],[0],[0.8334760999860009],['star'],3.1489689000009093,3.1660498000128428,3.1660498000128428,3.1660498000128428,3.1660498000128428,3.1627979666702837,0.011183400012669154,3.714658700002474,[-0.33055555555555555],[0.04814814814814815],[1],[0],[0],[0.5535049999889452],"['left_image', 'left_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\pig.png,C:\Users\HP\Downloads\individual assignment\dog.png,C:\Users\HP\Downloads\individual assignment\pig.wav,C:\Users\HP\Downloads\individual assignment\pig.png,0,2,2,2,3.749546700011706,,,,,,,,3.730537200011895,3.749546700011706,3.749546700011706,3.749546700011706,3.749546700011706,3.749546700011706,0.011053700000047684,4.463957600004505,[-0.005555555555555556],[0.025],[1],[0],[0],[0.7217433999903733],['star'],4.464591800002381,4.48189620001358,4.48189620001358,4.48189620001358,4.48189620001358,4.47903336667902,0.011280599996098317,5.081150300000445,[-0.2935185185185185],[0.03611111111111111],[1],[0],[0],[0.6042374999960884],"['left_image', 'left_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\maina.png,C:\Users\HP\Downloads\individual assignment\sparrow_.png,C:\Users\HP\Downloads\individual assignment\1732467382297lq2i0ywk-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\sparrow_.png,0,3,3,3,5.10777830000734,,,,,,,,5.091910400005872,5.10777830000734,5.10777830000734,5.10777830000734,5.10777830000734,5.10777830000734,0.00864880000881385,5.780137700014166,[0.005555555555555556],[0.002777777777777778],[1],[0],[0],[0.6791489999886835],['star'],5.780514100013534,5.794851100014057,5.794851100014057,5.794851100014057,5.794851100014057,5.795439966667133,0.010079100000439212,6.365014599999995,[0.3509259259259259],[0.04259259259259259],[1],[0],[0],[0.573429700001725],"['right_image', 'right_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\laopard.png,C:\Users\HP\Downloads\individual assignment\cheetah.png,C:\Users\HP\Downloads\individual assignment\cheetah.wav,C:\Users\HP\Downloads\individual assignment\cheetah.png,0,4,4,4,6.487282800007961,,,,,,,,6.380288100001053,6.487282800007961,6.487282800007961,6.487282800007961,6.487282800007961,6.487282800007961,0.10072780000336934,7.71415440000419,"[0.03518518518518519, 0.011111111111111112]","[0.014814814814814815, 0.005555555555555556]","[1, 1]","[0, 0]","[0, 0]","[0.6992428999947151, 1.2325510999944527]",['star'],7.714916500000982,7.843295200000284,7.843295200000284,7.843295200000284,7.843295200000284,7.845465833337705,0.12095569999655709,8.682113200004096,[0.2351851851851852],[0.030555555555555555],[1],[0],[0],[0.8447660000092583],"['right_image', 'right_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\girrage image.png,C:\Users\HP\Downloads\individual assignment\elephant.png,C:\Users\HP\Downloads\individual assignment\ElevenLabs_2024-11-23T09_20_06_Rachel_pre_s50_sb75_se0_b_m2.wav,C:\Users\HP\Downloads\individual assignment\elephant.png,0,5,5,5,8.958872700008214,,,,,,,,8.691257000013138,8.958872700008214,8.958872700008214,8.958872700008214,8.958872700008214,8.958872700008214,0.24835480000183452,9.680232000013348,[-0.005555555555555556],[-0.000925925925925926],[1],[0],[0],[0.7398752000008244],['star'],9.680830700002844,9.994433800005936,9.994433800005936,9.994433800005936,9.994433800005936,9.978421700009495,0.2944796999945538,11.064221500011627,[0.23981481481481481],[0.09537037037037037],[1],[0],[0],[1.0878751999989618],"['right_image', 'right_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\goat.png,C:\Users\HP\Downloads\individual assignment\squirrel.png,C:\Users\HP\Downloads\individual assignment\squirrel voice.wav,C:\Users\HP\Downloads\individual assignment\squirrel.png,0,6,6,6,11.26737430000503,,,,,,,,11.080740200006403,11.26737430000503,11.26737430000503,11.26737430000503,11.26737430000503,11.26737430000503,0.180292199991527,12.196709000010742,[0.023148148148148147],[0.000925925925925926],[1],[0],[0],[0.9349134000076447],['star'],12.197510900005,12.345159400007105,12.345159400007105,12.345159400007105,12.345159400007105,12.34445850000193,0.14103810000233352,13.462562800006708,[0.24074074074074073],[0.15648148148148147],[1],[0],[0],[1.1232044999924256],"['right_image', 'right_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\cow.png,C:\Users\HP\Downloads\individual assignment\deer.png,C:\Users\HP\Downloads\individual assignment\1732376745479kcscs2c-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\deer.png,0,7,7,7,13.48275380000996,,,,,,,,13.463481200000388,13.48275380000996,13.48275380000996,13.48275380000996,13.48275380000996,13.48275380000996,0.01213360000110697,14.313387500005774,[0.010185185185185186],[-0.002777777777777778],[1],[0],[0],[0.8367856999975629],['star'],14.31442490000336,14.333193800004665,14.333193800004665,14.333193800004665,14.333193800004665,14.327436566676868,0.0117995000036899,15.746675300004426,[0.34074074074074073],[0.06944444444444445],[1],[0],[0],[1.4191355999937514],"['right_image', 'right_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,C:\Users\HP\Downloads\individual assignment\panda.png,C:\Users\HP\Downloads\individual assignment\camel.wav,C:\Users\HP\Downloads\individual assignment\png-transparent-dromedary-bactrian-camel-camel-football-s-image-file-formats-terrestrial-animal-snout.png,0,8,8,8,15.768182500003604,,,,,,,,15.747640300003695,15.768182500003604,15.768182500003604,15.768182500003604,15.768182500003604,15.768182500003604,0.013294100004713982,16.66288460000942,[-0.013888888888888888],[-0.025925925925925925],[1],[0],[0],[0.9010367000009865],['star'],16.663851000004797,16.685344000012265,16.685344000012265,16.685344000012265,16.685344000012265,16.693566033333383,0.014116399994236417,18.080196300012176,[-0.30648148148148147],[0.03333333333333333],[1],[0],[0],[1.4008812999963993],"['left_image', 'left_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\penguin.png,C:\Users\HP\Downloads\individual assignment\tiger.png,C:\Users\HP\Downloads\individual assignment\tiger.wav,C:\Users\HP\Downloads\individual assignment\tiger.png,0,9,9,9,18.108667200009222,,,,,,,,18.0812314000068,18.108667200009222,18.108667200009222,18.108667200009222,18.108667200009222,18.108667200009222,0.018113600002834573,18.927837600000203,[-0.000925925925925926],[-0.002777777777777778],[1],[0],[0],[0.8278764999995474],['star'],18.928361600002972,18.946198400008143,18.946198400008143,18.946198400008143,18.946198400008143,18.94276336666759,0.010713700001360849,20.693863899999997,[0.31851851851851853],[0.004629629629629629],[1],[0],[0],[1.7536434999929043],"['right_image', 'right_rectangle']",20.541865200008033,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\eagle.png,C:\Users\HP\Downloads\individual assignment\owl.png,C:\Users\HP\Downloads\individual assignment\1732466897359vu8anz0e-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\owl.png,0,10,10,10,20.728024700001697,,,,,,,,20.69484990001365,20.728024700001697,20.728024700001697,20.728024700001697,20.728024700001697,20.728024700001697,0.023735700000543147,21.511641700009932,[0.001851851851851852],[0.003703703703703704],[1],[0],[0],[0.7920338000112679],['star'],21.512559599999804,21.542195900008664,21.542195900008664,21.542195900008664,21.542195900008664,21.542529233346187,0.022226100001716986,22.645613600005163,[0.17592592592592593],[0.007407407407407408],[1],[0],[0],[1.109186800007592],"['right_image', 'right_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\-ducks-.png,C:\Users\HP\Downloads\individual assignment\house-crow-.png,C:\Users\HP\Downloads\individual assignment\1732467110063epug2731-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\-ducks-.png,0,11,11,11,22.700480000014068,,,,,,,,22.660885000004782,22.700480000014068,22.700480000014068,22.700480000014068,22.700480000014068,22.700480000014068,0.03197029999864753,23.360378100012895,[0.007407407407407408],[-0.001851851851851852],[1],[0],[0],[0.6669065000023693],['star'],23.360982100013644,23.408267700011493,23.408267700011493,23.408267700011493,23.408267700011493,23.408377000011388,0.03879409999353811,24.279315000007045,[-0.20092592592592592],[0.03981481481481482],[1],[0],[0],[0.8780258000042522],"['left_image', 'left_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\peacock.png,C:\Users\HP\Downloads\individual assignment\cat.png,C:\Users\HP\Downloads\individual assignment\1732375491269iichebdn-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\cat.png,0,12,12,12,24.314310900008422,,,,,,,,24.290901000000304,24.314310900008422,24.314310900008422,24.314310900008422,24.314310900008422,24.314310900008422,0.014182300001266412,24.894054200005485,[0.006481481481481481],[0.0],[1],[0],[0],[0.5879836999956751],['star'],24.89485280000372,24.91692580000381,24.91692580000381,24.91692580000381,24.91692580000381,24.925037233341328,0.013893700001062825,25.726501900004223,[0.3277777777777778],[0.026851851851851852],[1],[0],[0],[0.8166283000027761],"['right_image', 'right_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\sheep.png,C:\Users\HP\Downloads\individual assignment\penguin.png,C:\Users\HP\Downloads\individual assignment\penguin.wav,C:\Users\HP\Downloads\individual assignment\penguin.png,0,13,13,13,25.758156900003087,,,,,,,,25.740076700007194,25.758156900003087,25.758156900003087,25.758156900003087,25.758156900003087,25.758156900003087,0.011229999989154749,26.627547000010964,[-0.005555555555555556],[0.002777777777777778],[1],[0],[0],[0.874990299998899],['star'],26.62855480000144,26.65533440001309,26.65533440001309,26.65533440001309,26.65533440001309,26.657679133343237,0.01877070000045933,27.977499000000535,[0.18425925925925926],[0.0],[1],[0],[0],[1.3284529999946244],"['right_image', 'right_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
C:\Users\HP\Downloads\individual assignment\gorrila.png,C:\Users\HP\Downloads\individual assignment\Brown-Bear-.png,C:\Users\HP\Downloads\individual assignment\1732468211091t0xlqqp-voicemaker.in-speech.wav,C:\Users\HP\Downloads\individual assignment\gorrila.png,0,14,14,14,28.029844300006516,,,,,,,,27.99050930001249,28.029844300006516,28.029844300006516,28.029844300006516,28.029844300006516,28.029844300006516,0.03200339998875279,28.760611100005917,[0.014814814814814815],[0.010185185185185186],[1],[0],[0],[0.7369808999937959],['star'],28.762111300005927,28.80018740000378,28.80018740000378,28.80018740000378,28.80018740000378,28.807705300013186,0.030380999989574775,29.991698000012548,[-0.2388888888888889],[0.07962962962962963],[1],[0],[0],[1.1983578999934252],"['left_image', 'left_rectangle']",,3,001,2024-11-28_14h31.44.948,individual assignment animal,2024.1.5,None,2024-11-28 14h31.52.276038 +0530,
